Date ,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
10-Nov-21,3498,3519.7,3480.2,3484.95,3484.3,115924,5298754956
9-Nov-21,3508,3535,3496,3503,3505.7,90441,6254594396
8-Nov-21,3548,3548,3481.2,3506,3502.75,144893,8849622222
4-Nov-21,3512.95,3513.25,3505,3508.65,3508.65,42244,1154468248
3-Nov-21,3504.2,3519.9,3466.05,3488,3492.25,98779,5370327267
2-Nov-21,3494,3513.6,3469.75,3484,3484.2,134659,10777567153
1-Nov-21,3437.95,3487,3412.95,3482.35,3476.4,154841,6962871689
29-Oct-21,3400.05,3461,3385.95,3404,3397.75,241935,13561601568
28-Oct-21,3518,3518,3415,3423,3421.65,187690,8366511722
27-Oct-21,3483,3511.25,3483,3488.45,3489.75,122328,8776620129
26-Oct-21,3494.5,3529,3475,3485.9,3482.6,155172,13555085104
25-Oct-21,3503,3514.55,3450,3491,3492.95,139684,9025471434
22-Oct-21,3560,3561.6,3485,3501.85,3498.85,163976,9451650099
21-Oct-21,3604.1,3607.45,3511.25,3532.85,3532.5,295349,17274650005
20-Oct-21,3612,3630,3578.3,3607.95,3608.85,175675,10579039337
19-Oct-21,3669,3690.1,3625.2,3634.45,3634.15,191609,11481500582
18-Oct-21,3603.45,3652.7,3601.45,3649,3647.15,213590,13036517799
14-Oct-21,3625,3670,3608.2,3614.8,3611.45,406019,23364720249
13-Oct-21,3650,3675.45,3645,3658.05,3655.2,228263,12962366655
12-Oct-21,3706,3707,3630.6,3656.2,3652.85,371571,21047120430
11-Oct-21,3755,3757.5,3660,3687.95,3685.6,704881,43859658074
8-Oct-21,3925,3989.9,3900,3943,3935.65,178433,11584283175
7-Oct-21,3830,3899,3820.05,3898,3892.9,100510,6371521151
6-Oct-21,3836,3857.45,3795,3813.8,3810.9,105524,6427634316
5-Oct-21,3754,3840,3741.6,3839.1,3833.3,107053,7108385858
4-Oct-21,3724.8,3783.65,3707.45,3779,3773.3,82301,5105290642
1-Oct-21,3781.75,3810,3725,3728.65,3730.2,132388,5915725344
30-Sep-21,3805,3805,3750.1,3778.7,3775.55,145940,8498981489
29-Sep-21,3759.8,3806,3722.15,3794.55,3791.9,138418,9377015958
28-Sep-21,3850,3850,3751.25,3777.05,3779.15,140925,8527330472
27-Sep-21,3900,3904,3802.9,3839,3836.95,126569,6430415745
24-Sep-21,3890,3944.4,3855,3878.75,3871.3,185756,9071718890
23-Sep-21,3870,3879,3835,3872,3869.25,131024,7734019886
22-Sep-21,3862.5,3896.85,3852.45,3856.75,3862.15,93000,6756003294
21-Sep-21,3858,3871.55,3821.65,3861.95,3862.95,99059,6038455605
20-Sep-21,3809,3871,3807.85,3820.05,3823.5,120832,7682147331
17-Sep-21,3920,3945,3805,3826.55,3827.85,155142,24944046353
16-Sep-21,3930,3981.75,3892.1,3903.05,3903.3,123851,11586139448
15-Sep-21,3882.1,3980,3866,3950,3954.55,120015,9671698400
14-Sep-21,3849.95,3896.5,3825,3880.1,3885.9,104679,7713316318
13-Sep-21,3767,3852.4,3767,3841.5,3845.35,109836,6475463795
9-Sep-21,3789.7,3808.7,3765,3793,3791.4,124377,5457774387
8-Sep-21,3810,3815,3756,3777,3774.15,122519,15751252747
